Location ID,Name,Revenue
A189,Alexandria,46400.00
A165,Amherst,53400.00
A190,Arlington,45800.00
A135,Athens,40200.00
A136,Atlanta,41700.00
A137,Augusta,62700.00
A166,Babylon (Town),53000.00
A147,Baltimore,46600.00
A142,Boston,29000.00
A110,Brandon,76500.00
A100,Bridgeport,39700.00
A101,Bridgeport (Town),49300.00
A167,Brookhaven,47400.00
A168,Brooklyn,68200.00
A169,Buffalo,37100.00
A143,Cambridge,40600.00
A111,Cape Coral,54700.00
A149,Cary,45300.00
A186,Charleston,34300.00
A150,Charlotte,55600.00
A191,Chesapeake,39800.00
A112,Clearwater,37500.00
A148,Columbia,35700.00
A187,Columbia,39700.00
A138,Columbus,47300.00
A113,Coral Springs,50100.00
A114,Davie,51500.00
A151,Durham,48400.00
A159,Edison,46000.00
A160,Elizabeth,29300.00
A152,Fayetteville,31800.00
A115,Fort Lauderdale,41800.00
A116,Gainesville,40500.00
A153,Greensboro,62700.00
A192,Hampton,31100.00
A102,Hartford,27900.00
A103,Hartford (Town),33500.00
A170,Hempstead (Town),48600.00
A117,Hialeah,52500.00
A154,High Point,41400.00
A118,Hollywood,51200.00
A171,Huntington,18900.00
A172,Islip,36600.00
A119,Jacksonville,33000.00
A161,Jersey City,35600.00
A120,Lakeland,38600.00
A121,Lehigh Acres,39000.00
A144,Lowell,58400.00
A139,Macon,44300.00
A158,Manchester,46000.00
A173,Manhattan,23600.00
A122,Miami,40600.00
A123,Miami Gardens,51400.00
A124,Miramar,47200.00
A104,New Haven,45600.00
A105,New Haven (Town),52900.00
A174,New York City,27200.00
A162,Newark,50900.00
A193,Newport News,47500.00
A194,Norfolk,55700.00
A188,North Charleston,44400.00
A175,North Hempstead,39700.00
A125,Orlando,43800.00
A176,Oyster Bay,37300.00
A126,Palm Bay,33700.00
A163,Paterson,50100.00
A127,Pembroke Pines,42600.00
A128,Pompano Beach,48200.00
A129,Port St. Lucie,39700.00
A185,Providence,49000.00
A177,Queens,53100.00
A155,Raleigh,35000.00
A178,Ramapo,28000.00
A195,Richmond,46900.00
A179,Rochester,58700.00
A140,Sandy Springs,43000.00
A141,Savannah,55300.00
A180,Smithtown,65100.00
A130,Spring Hill,41200.00
A145,Springfield,26200.00
A131,St. Petersburg,19600.00
A106,Stamford,53400.00
A107,Stamford (Town),32800.00
A181,Staten Island,49900.00
A182,Syracuse,48200.00
A132,Tallahassee,36500.00
A133,Tampa,45000.00
A183,The Bronx,31100.00
A196,Virginia Beach,54900.00
A108,Waterbury,43500.00
A109,Waterbury (Town),29000.00
A134,West Palm Beach,33300.00
A156,Wilmington,43500.00
A157,Winston-Salem,54900.00
A164,Woodbridge (Township),33000.00
A146,Worcester,44500.00
A184,Yonkers,51700.00
