Order ID,Product ID,Location ID,Sales Person ID,Customer ID,Purchase Date,Quantity,Price
AX10338,ENX2037,A129,EMP1007,C1383,2015-01-01,1,880
AX10423,ENX2038,A130,EMP1037,C1446,2015-01-01,4,392
AX10629,ENX2011,A129,EMP1017,C1034,2015-01-01,1,530
AX11874,ENX2072,A105,EMP1001,C1184,2015-01-01,2,1887
AX12126,ENX2087,A142,EMP1021,C1131,2015-01-01,1,1022
AX12552,ENX2095,A151,EMP1034,C1097,2015-01-01,1,1743
AX14125,ENX2098,A124,EMP1034,C1270,2015-01-01,2,1178
AX15267,ENX2028,A149,EMP1032,C1428,2015-01-01,1,2283
AX16233,ENX2056,A106,EMP1015,C1155,2015-01-01,1,1635
AX17634,ENX2064,A129,EMP1010,C1587,2015-01-01,3,1414
AX18737,ENX2053,A141,EMP1010,C1797,2015-01-01,1,596
AX19002,ENX2082,A148,EMP1025,C1361,2015-01-01,4,1103
AX21147,ENX2086,A137,EMP1022,C1576,2015-01-01,1,123
AX22720,ENX2057,A150,EMP1028,C1634,2015-01-01,1,181
AX10900,ENX2036,A171,EMP1012,C1552,2015-01-02,1,1582
AX11115,ENX2084,A104,EMP1025,C1170,2015-01-02,1,1783
AX14415,ENX2057,A103,EMP1042,C1125,2015-01-02,1,181
AX14885,ENX2095,A129,EMP1044,C1793,2015-01-02,1,1743
AX15191,ENX2047,A166,EMP1012,C1088,2015-01-02,2,290
AX15228,ENX2035,A113,EMP1034,C1491,2015-01-02,4,458
AX16282,ENX2067,A129,EMP1024,C1697,2015-01-02,2,1119
AX17204,ENX2025,A100,EMP1008,C1668,2015-01-02,1,667
AX17384,ENX2019,A102,EMP1027,C1531,2015-01-02,4,800
AX18312,ENX2007,A129,EMP1001,C1409,2015-01-02,4,1405
AX18376,ENX2064,A112,EMP1001,C1633,2015-01-02,1,1414
AX20423,ENX2069,A159,EMP1038,C1681,2015-01-02,1,378
AX20512,ENX2085,A135,EMP1009,C1223,2015-01-02,1,1862
AX22983,ENX2093,A164,EMP1039,C1264,2015-01-02,4,112
AX23354,ENX2046,A166,EMP1041,C1460,2015-01-02,3,2410
AX23957,ENX2014,A130,EMP1024,C1765,2015-01-02,1,1809
AX11535,ENX2059,A151,EMP1011,C1360,2015-01-03,1,1494
